order_year,order_month,rgn1_nm,rgn2_nm,rgn1_cd,rgn2_cd,service_type,총_주문수,배차 30분이상,총배달시간 60분이상,알뜰배차시간,알뜰픽업시간,알뜰총배달시간,알뜰고안시준수율,배차30분비중,배달60분비중
2023,11,강원도,강릉시,42,42150,BAEMIN,186375,14364,4242,13.49,6.46,27.85,0.95,0.08,0.02
2023,11,강원도,강릉시,42,42150,BAERA,20435,1635,764,12.84,10.11,31.98,0.86,0.08,0.04
2023,11,강원도,고성군,42,42820,BAEMIN,6235,104,94,7.04,10.77,25.98,0.93,0.02,0.02
2023,11,강원도,동해시,42,42170,BAEMIN,72923,3448,2036,9.36,12.88,31.69,0.94,0.05,0.03
2023,11,강원도,삼척시,42,42230,BAEMIN,42854,2029,876,9.64,10.93,28.11,0.95,0.05,0.02
2023,11,강원도,속초시,42,42210,BAEMIN,99408,7133,2397,12.74,6.63,27.94,0.95,0.07,0.02
2023,11,강원도,양구군,42,42800,BAEMIN,8943,509,305,11.96,7.07,26.81,0.91,0.06,0.03
2023,11,강원도,양양군,42,42830,BAEMIN,8496,244,112,7.53,11.63,25.48,0.90,0.03,0.01
2023,11,강원도,영월군,42,42750,BAEMIN,12765,1147,298,13.45,9.63,28.01,0.92,0.09,0.02
2023,11,강원도,원주시,42,42130,BAEMIN,371755,23723,10688,11.49,10.42,28.86,0.95,0.06,0.03
2023,11,강원도,원주시,42,42130,BAERA,44135,2506,1398,10.85,10.47,31.05,0.84,0.06,0.03
2023,11,강원도,원주시,42,42130,BMART,10861,268,277,3.41,7.45,26.56,0.61,0.02,0.03
2023,11,강원도,인제군,42,42810,BAEMIN,1598,110,15,14.85,3.18,23.41,0.95,0.07,0.01
2023,11,강원도,정선군,42,42770,BAEMIN,2494,65,63,5.85,15.46,31.16,0.93,0.03,0.03
2023,11,강원도,철원군,42,42780,BAEMIN,17877,1452,249,13.36,2.77,21.11,0.95,0.08,0.01
2023,11,강원도,춘천시,42,42110,BAEMIN,242458,23443,14943,13.53,11.31,33.52,0.93,0.10,0.06
2023,11,강원도,춘천시,42,42110,BAERA,60925,4435,2519,11.65,10.21,31.12,0.85,0.07,0.04
2023,11,강원도,태백시,42,42190,BAEMIN,26248,1739,519,11.7,8,25.86,0.96,0.07,0.02
2023,11,강원도,평창군,42,42760,BAEMIN,3406,89,96,6.6,16.47,30,0.95,0.03,0.03
2023,11,강원도,홍천군,42,42720,BAEMIN,27026,2133,588,12.72,6.87,27.34,0.95,0.08,0.02
2023,11,강원도,화천군,42,42790,BAEMIN,6440,135,56,5.22,12.43,22.17,0.96,0.02,0.01
2023,11,강원도,횡성군,42,42730,BAEMIN,13008,618,143,10.13,7.23,22.52,0.96,0.05,0.01
2023,11,경기도,가평군,41,41820,BAEMIN,21126,994,236,9.82,8.29,23.75,0.95,0.05,0.01
2023,11,경기도,고양시 덕양구,41,41281,BAEMIN,203232,5603,2580,8.32,9.55,26.88,0.93,0.03,0.01
2023,11,경기도,고양시 덕양구,41,41281,BAERA,128851,9332,4481,11.04,10.34,30.52,0.82,0.07,0.03
2023,11,경기도,고양시 일산동구,41,41285,BAEMIN,155821,3852,2004,7.79,11.21,28.31,0.91,0.02,0.01
2023,11,경기도,고양시 일산동구,41,41285,BAERA,127008,10440,5039,11.76,10.45,32.15,0.80,0.08,0.04
2023,11,경기도,고양시 일산서구,41,41287,BAEMIN,84488,2538,1340,8.03,10.39,27.78,0.91,0.03,0.02
2023,11,경기도,고양시 일산서구,41,41287,BAERA,93798,6852,3645,11.5,10.77,32.16,0.79,0.07,0.04
2023,11,경기도,고양시 일산서구,41,41287,BMART,17804,320,539,2.94,10.5,31.07,0.50,0.02,0.03
2023,11,경기도,과천시,41,41290,BAEMIN,13869,355,302,6.59,12.33,29.01,0.89,0.03,0.02
